checking_status,duration,credit_history,purpose,credit_amount,savings_status,employment,installment_commitment,personal_status,other_parties,residence_since,property_magnitude,age,other_payment_plans,housing,existing_credits,job,num_dependents,own_telephone,foreign_worker,class
A11,18,A32,A410,3739,A61,A74,3,A91,A101,4,A123,40,A143,A153,3,A171,1,A192,A201,2
A12,20,A31,A46,832,A61,A73,4,A93,A101,2,A123,34,A141,A153,4,A174,2,A191,A201,2
A14,22,A30,A42,1791,A61,A75,2,A94,A101,4,A123,38,A143,A152,1,A173,1,A191,A201,2
A13,17,A34,A44,5068,A62,A75,2,A93,A102,4,A122,34,A143,A153,1,A172,1,A191,A201,1
A11,46,A33,A42,3796,A65,A75,2,A92,A101,2,A122,19,A143,A152,1,A174,1,A192,A201,1
A12,60,A30,A49,2951,A61,A75,2,A91,A102,4,A121,66,A141,A153,2,A173,1,A191,A201,1
A12,20,A33,A40,4914,A65,A74,2,A93,A101,1,A121,27,A142,A152,1,A173,1,A192,A201,1
A14,19,A34,A40,1292,A63,A71,4,A92,A101,2,A121,53,A143,A153,1,A174,1,A192,A201,1
A12,25,A30,A45,2946,A62,A73,4,A93,A101,4,A123,43,A143,A152,3,A172,1,A191,A201,1
A14,18,A32,A45,2967,A64,A75,2,A92,A101,2,A123,43,A142,A152,2,A172,1,A191,A201,1
A12,56,A31,A48,5034,A61,A71,4,A93,A101,2,A121,36,A143,A153,3,A173,1,A191,A201,2
A14,14,A34,A43,2139,A62,A73,1,A93,A102,4,A124,27,A143,A152,1,A173,1,A191,A202,2
A14,21,A32,A45,4392,A62,A73,2,A93,A101,2,A121,34,A142,A152,1,A173,1,A191,A201,2
A12,26,A33,A40,3520,A61,A73,2,A93,A101,3,A124,63,A141,A152,3,A173,2,A192,A201,1
A14,26,A31,A49,13418,A62,A75,2,A93,A101,2,A124,27,A143,A152,1,A173,1,A192,A201,1
A12,18,A34,A43,5006,A62,A75,2,A92,A101,2,A124,33,A143,A153,1,A173,1,A191,A201,1
A14,17,A34,A46,2369,A63,A75,4,A93,A101,3,A123,42,A143,A152,2,A173,1,A192,A201,1
A11,20,A33,A43,2130,A63,A72,1,A93,A101,4,A124,26,A143,A152,1,A172,1,A191,A201,1
A12,10,A30,A41,4188,A61,A72,2,A92,A101,4,A121,62,A143,A152,2,A172,1,A191,A201,1
A12,37,A33,A49,18424,A65,A75,1,A92,A101,4,A123,33,A142,A152,1,A173,1,A192,A201,1
A12,13,A32,A43,6763,A61,A75,2,A91,A101,4,A124,34,A141,A152,3,A173,1,A192,A201,2
A11,15,A30,A410,1087,A63,A75,2,A94,A103,4,A123,41,A142,A152,3,A172,1,A191,A202,1
A12,38,A31,A42,5103,A61,A75,3,A93,A101,2,A124,67,A142,A152,3,A171,1,A191,A201,1
A14,19,A32,A43,14562,A63,A71,2,A93,A101,4,A123,41,A141,A152,1,A173,1,A191,A201,1
A11,20,A31,A42,2315,A65,A74,2,A92,A101,4,A122,25,A143,A153,3,A173,2,A191,A202,1
A12,22,A32,A43,3033,A61,A73,4,A91,A103,2,A124,41,A143,A152,3,A174,1,A191,A201,2
A14,20,A34,A44,2520,A61,A73,2,A91,A101,3,A123,39,A143,A152,1,A173,1,A191,A201,1
A14,24,A32,A43,823,A62,A73,4,A92,A101,2,A123,36,A143,A151,2,A173,1,A192,A201,1
A14,25,A34,A41,3162,A64,A74,1,A92,A103,3,A121,34,A143,A151,4,A173,1,A191,A201,2
A14,25,A31,A42,1746,A64,A75,3,A92,A101,4,A123,32,A143,A152,1,A172,1,A192,A201,1
A12,22,A34,A410,4684,A61,A75,4,A92,A101,3,A124,51,A142,A152,1,A173,1,A192,A201,1
A14,22,A32,A42,2712,A61,A72,4,A94,A101,2,A121,31,A143,A151,1,A173,1,A191,A201,2
A14,12,A33,A44,2521,A65,A71,4,A91,A101,4,A124,34,A143,A152,1,A173,2,A191,A202,1
A14,40,A33,A42,2782,A65,A73,1,A92,A101,1,A124,41,A142,A151,4,A172,1,A192,A201,1
A12,22,A30,A40,3524,A61,A72,2,A93,A101,3,A122,34,A143,A151,4,A172,2,A191,A202,1
A14,17,A34,A44,3880,A61,A73,4,A94,A101,3,A124,62,A143,A151,1,A173,1,A191,A201,2
A12,17,A32,A43,2759,A61,A73,2,A92,A101,3,A124,48,A143,A151,1,A173,1,A191,A202,1
A12,17,A33,A43,2313,A62,A74,2,A92,A101,4,A124,45,A142,A153,1,A173,1,A191,A202,2
A13,11,A33,A40,3394,A63,A75,3,A92,A101,4,A123,43,A143,A152,2,A173,1,A191,A202,1
A12,23,A33,A48,15058,A61,A72,3,A93,A101,4,A123,30,A142,A152,1,A172,1,A192,A201,1
A11,17,A32,A410,2831,A64,A75,2,A93,A101,1,A122,36,A143,A152,3,A173,1,A191,A201,1
A12,19,A31,A45,4616,A65,A71,4,A93,A102,2,A123,30,A141,A152,1,A173,1,A191,A201,1
A12,16,A32,A43,5162,A64,A75,4,A93,A102,2,A123,32,A143,A152,1,A172,1,A192,A201,2
A11,20,A33,A49,11323,A65,A71,1,A94,A101,4,A121,38,A141,A152,1,A173,2,A191,A202,2
A12,72,A34,A48,2740,A61,A75,4,A93,A101,4,A123,46,A143,A152,4,A173,1,A191,A201,2
